Date,GB14,GB24,GB27,GB28,GB29,GB45,GB47,GB48,GB49
"Monday, January 1, 2001"," 2,300 ", 66 , 35 , 36 , 26 , 79 , 92 , 102 , 105 
"Thursday, February 1, 2001"," 2,300 ", 65 , 35 , 34 , 25 , 80 ,,,
"Thursday, March 1, 2001"," 2,300 ", 65 , 28 , 35 , 25 , 80 , 375 , 409 , 106 
"Sunday, April 1, 2001"," 2,250 ", 72 , 37 , 38 , 29 , 82 , 460 , 495 , 103 
"Tuesday, May 1, 2001"," 2,250 ", 74 , 36 , 39 , 29 , 85 , 369 , 381 , 98 
"Friday, June 1, 2001"," 2,280 ", 59 , 34 , 38 , 26 , 83 , 361 , 372 , 98 
"Sunday, July 1, 2001"," 2,300 ", 51 , 35 , 34 , 26 , 85 , 449 , 466 , 98 
"Wednesday, August 1, 2001"," 2,300 ", 56 , 30 , 28 , 24 , 85 , 380 , 383 , 101 
"Saturday, September 1, 2001"," 2,250 ", 63 , 33 , 35 , 28 , 82 , 380 , 387 , 103 
"Monday, October 1, 2001"," 2,200 ", 69 , 40 , 42 , 35 , 81 , 465 , 480 , 103 
"Thursday, November 1, 2001"," 2,200 ", 74 , 47 , 48 , 41 , 82 , 373 , 380 , 105 
"Saturday, December 1, 2001"," 2,000 ", 73 , 50 , 52 , 44 , 84 , 482 , 487 , 108 
"Tuesday, January 1, 2002"," 1,900 ", 74 , 53 , 54 , 44 , 83 , 381 , 390 , 106 
"Friday, February 1, 2002"," 1,850 ", 74 , 53 , 53 , 47 , 81 , 367 , 378 , 104 
"Friday, March 1, 2002"," 1,850 ", 72 , 52 , 53 , 45 , 76 , 352 , 374 , 106 
"Monday, April 1, 2002"," 1,750 ", 69 , 50 , 47 , 41 , 76 , 430 , 457 , 100 
"Wednesday, May 1, 2002"," 1,700 ", 61 , 45 , 41 , 36 , 75 , 342 , 368 , 101 
"Saturday, June 1, 2002"," 1,700 ", 55 , 42 , 37 , 33 , 74 , 339 , 376 , 104 
"Monday, July 1, 2002"," 1,750 ", 43 , 40 , 30 , 31 , 73 , 407 , 482 , 104 
"Thursday, August 1, 2002"," 1,775 ", 42 , 24 , 24 , 18 , 71 , 332 , 365 , 101 
"Sunday, September 1, 2002"," 1,800 ", 44 , 22 , 22 , 17 , 69 , 438 , 514 , 116 
"Tuesday, October 1, 2002"," 1,800 ", 46 , 22 , 22 , 16 , 70 , 348 , 417 , 119 
"Friday, November 1, 2002"," 1,800 ", 46 , 23 , 22 , 17 , 72 , 351 , 417 , 118 
"Sunday, December 1, 2002"," 1,850 ", 46 , 23 , 22 , 17 , 73 , 438 , 517 , 120 
"Wednesday, January 1, 2003"," 1,875 ", 47 , 23 , 21 , 17 , 74 , 352 , 409 , 122 
"Saturday, February 1, 2003"," 1,900 ", 46 , 23 , 20 , 16 , 76 , 349 , 404 , 120 
"Saturday, March 1, 2003"," 1,925 ", 47 , 23 , 20 , 15 , 78 , 443 , 516 , 124 
"Tuesday, April 1, 2003"," 1,925 ", 45 , 22 , 19 , 15 , 79 , 361 , 379 , 118 
"Thursday, May 1, 2003"," 1,950 ", 45 , 22 , 20 , 15 , 86 , 282 , 295 , 118 
"Sunday, June 1, 2003"," 1,975 ", 40 , 22 , 20 , 15 , 87 , 467 , 515 , 113 
"Tuesday, July 1, 2003"," 1,975 ", 37 , 20 , 19 , 15 , 86 , 373 , 396 , 112 
"Friday, August 1, 2003"," 2,000 ", 38 , 19 , 19 , 15 , 93 , 399 , 413 , 114 
"Monday, September 1, 2003"," 2,000 ", 44 , 21 , 20 , 16 , 100 , 429 , 447 , 118 
"Wednesday, October 1, 2003"," 2,100 ", 46 , 22 , 22 , 17 , 103 , 438 , 450 , 119 
"Saturday, November 1, 2003"," 2,100 ", 48 , 23 , 22 , 17 , 115 , 483 , 479 , 125 
"Monday, December 1, 2003"," 2,100 ", 51 , 25 , 23 , 18 , 122 , 642 , 626 , 130 
"Thursday, January 1, 2004"," 2,100 ", 53 , 25 , 24 , 18 , 122 , 500 , 492 , 127 
"Sunday, February 1, 2004"," 2,100 ", 54 , 24 , 23 , 18 , 115 , 482 , 484 , 125 
"Monday, March 1, 2004"," 2,100 ", 54 , 24 , 23 , 17 , 110 , 581 , 593 , 122 
"Thursday, April 1, 2004"," 2,100 ", 52 , 24 , 23 , 18 , 112 , 468 , 472 , 119 
"Saturday, May 1, 2004"," 2,100 ", 51 , 25 , 22 , 17 , 105 , 347 , 347 , 118 
"Tuesday, June 1, 2004"," 2,100 ", 44 , 24 , 22 , 17 , 91 , 413 , 316 , 110 
"Thursday, July 1, 2004"," 2,100 ", 43 , 24 , 21 , 17 , 90 , 181 , 106 , 109 
"Sunday, August 1, 2004"," 2,100 ", 46 , 23 , 22 , 17 , 80 , 357 , 361 , 97 
"Wednesday, September 1, 2004"," 2,100 ", 50 , 26 , 27 , 22 , 77 , 365 , 376 , 103 
"Friday, October 1, 2004"," 2,100 ", 52 , 27 , 29 , 23 , 79 , 276 , 285 , 105 
"Monday, November 1, 2004"," 2,100 ", 56 , 30 , 33 , 25 , 84 , 481 , 499 , 112 
"Wednesday, December 1, 2004"," 2,100 ", 57 , 34 , 37 , 28 , 84 , 189 , 97 , 112 
"Saturday, January 1, 2005"," 2,100 ", 60 , 37 , 39 , 29 , 81 , 276 , 277 , 110 
"Tuesday, February 1, 2005"," 2,075 ", 59 , 38 , 41 , 29 , 83 , 366 , 357 , 106 
"Tuesday, March 1, 2005"," 2,075 ", 58 , 38 , 41 , 30 , 84 , 184 , 178 , 105 
"Friday, April 1, 2005"," 2,075 ", 57 , 37 , 40 , 30 , 82 , 261 , 260 , 100 
"Sunday, May 1, 2005"," 2,050 ", 56 , 36 , 40 , 28 , 81 , 355 , 346 , 100 
"Wednesday, June 1, 2005"," 2,025 ", 49 , 35 , 39 , 28 , 83 , 277 , 263 , 100 
"Friday, July 1, 2005"," 2,050 ", 44 , 32 , 30 , 24 , 80 , 175 , 180 , 105 
"Monday, August 1, 2005"," 2,100 ", 44 , 27 , 27 , 22 , 80 , 358 , 356 , 100 
"Thursday, September 1, 2005"," 2,100 ", 44 , 28 , 28 , 21 , 82 , 356 , 348 , 102 
"Saturday, October 1, 2005"," 2,100 ", 45 , 29 , 29 , 20 , 83 , 359 , 355 , 105 
